もう何がなんだかわからない一年戦争後	-1
面白い高校生youtuberが、大学受験とかで配信減らすと、あぁ、みんな受験を経て普通の人になっちゃうのか、と物悲しくなる。学歴にもデメリットがあるのになー。	-1
rubocopは英語帝国主義なのがとても嫌いだったな	-1
三菱なのに燃費がいい炎上	-1
ねこ「ほかのねこのにおいするでくんかくんか」	1
なんちゃって(๑´ڡ`๑)	1
亜人ちゃんは語りたいのほうもいい。	1
ミス東工大が可愛すぎるから東工大	1
ハリッサ？ 唐辛子のやーつ！	1
さて、今夜はカツヲのお刺身！	1
浮名を流すカーチャン( ‘н‘*)	1
実用ではなくて「コミュニケーションのきっかけとしての質問」てちょっと面白いな。(mittomoと教えてgooに対する感想	1
実際問題、工場さえあれば量産できちゃう米帝チートすぎるでしょ	-1
2日シャンプー使わずシャワー長めにしただけで髪の毛バッサバサ	-1
（´-`三´-`）はんにゃらららーばんにゃららら〜！！！(まめさんありがとうございましたの舞	1
リア充になろうと頑張ったオタク何人か見たけどなれた人を知らないんだよなぁ。。変えるなら大学入る前だなw	-1
行くぜ！おおさかぁー！！	1
この季節だからかおっさんも湧いてるな	-1
めっちゃ楽しかったわ〜！いいお酒飲めたわ(ﾉ∀`)	1
またわけがわからんエラーにまみれている。	-1
お、オジタンもご帰還( ‘н‘*)	1
本当世の中すげー人いるんだなって感心してる	1
DVDドライブくんがクソの役にも立たなくて、十秒くらい再生したら停止しやがる	-1
これ買ってよかった	1
かわいい	1
「大企業がオワコン」みたいなのは、別にぼくに限らず主張していることですし、東芝、シャープ、三菱自動車しかり、事例ベースで明らかな話。そもそも働いていて「こりゃ終わってる」と感じるでしょうし。今はまだ牧歌的な時代なんでしょうねぇ。	-1
ゲーセンめちゃめちゃ暑い7月並みか	-1
